f_Hz,x_mm,y_mm,absA_full,absA_sig0,absBx_full,absBx_sig0,absBy_full,absBy_sig0
1000,0.100000,31.017000,1.257256e-04,1.086707e-04,2.928723e-02,3.219027e-02,2.880081e-01,1.217716e-01
1000,0.100000,31.136000,1.293750e-04,1.123830e-04,2.999266e-02,3.287563e-02,2.874906e-01,1.217622e-01
1000,0.100000,31.255000,1.330288e-04,1.161028e-04,3.069856e-02,3.356143e-02,2.869730e-01,1.217528e-01
1000,0.100000,31.374000,1.366866e-04,1.198294e-04,3.140490e-02,3.424764e-02,2.864555e-01,1.217435e-01
1000,0.100000,31.493000,1.403480e-04,1.235621e-04,3.211164e-02,3.493426e-02,2.859379e-01,1.217342e-01
1000,0.100000,31.612000,1.440127e-04,1.273004e-04,3.281877e-02,3.562125e-02,2.854204e-01,1.217250e-01
1000,0.100000,31.731000,1.475298e-04,1.313489e-04,3.335588e-02,3.659281e-02,2.838451e-01,1.217850e-01
1000,0.100000,31.850000,1.514483e-04,1.356944e-04,3.403818e-02,3.763306e-02,2.830876e-01,1.220730e-01
1000,0.100000,31.969000,1.558827e-04,1.401979e-04,3.496867e-02,3.859491e-02,2.837811e-01,1.225699e-01
1000,0.100000,32.088000,1.603215e-04,1.447078e-04,3.589920e-02,3.955677e-02,2.844746e-01,1.230669e-01
1000,0.100000,32.207000,1.647642e-04,1.492238e-04,3.682976e-02,4.051866e-02,2.851682e-01,1.235640e-01
1000,0.100000,32.326000,1.692940e-04,1.537908e-04,3.774261e-02,4.152942e-02,2.856899e-01,1.240786e-01
1000,0.100000,32.445000,1.751356e-04,1.590801e-04,3.837710e-02,4.330651e-02,2.835143e-01,1.248679e-01
1000,0.100000,32.564000,1.803135e-04,1.643068e-04,3.986671e-02,4.493938e-02,2.850902e-01,1.261943e-01
1000,0.100000,32.683000,1.854170e-04,1.695308e-04,4.145601e-02,4.655545e-02,2.871037e-01,1.275834e-01
1000,0.100000,32.802000,1.905239e-04,1.747595e-04,4.304532e-02,4.817154e-02,2.891174e-01,1.289725e-01
1000,0.100000,32.921000,1.956340e-04,1.799927e-04,4.463464e-02,4.978764e-02,2.911313e-01,1.303617e-01
1000,0.100000,33.040000,2.017850e-04,1.863138e-04,4.392410e-02,5.231519e-02,2.902521e-01,1.319949e-01
1000,0.100000,33.159000,2.079189e-04,1.925790e-04,4.532235e-02,5.466618e-02,2.848424e-01,1.338299e-01
1000,0.100000,33.278000,2.131717e-04,1.989806e-04,4.785461e-02,5.720584e-02,2.775938e-01,1.357236e-01
1000,0.100000,33.397000,2.164814e-04,2.060400e-04,5.193553e-02,6.095690e-02,2.710520e-01,1.383235e-01
1000,0.100000,33.516000,2.232566e-04,2.130673e-04,5.531967e-02,6.493359e-02,2.686516e-01,1.422650e-01
1000,0.100000,33.635000,2.315552e-04,2.212131e-04,5.974316e-02,7.106772e-02,2.641308e-01,1.463561e-01
1000,0.100000,33.754000,2.411482e-04,2.304506e-04,6.572673e-02,7.951292e-02,2.610572e-01,1.515749e-01
1000,0.100000,33.873000,2.496410e-04,2.394666e-04,7.294055e-02,8.850300e-02,2.690016e-01,1.601589e-01
1000,0.100000,33.992000,2.603973e-04,2.510222e-04,7.745888e-02,1.049732e-01,2.532098e-01,1.683254e-01
1000,0.100000,34.111000,2.705081e-04,2.646055e-04,8.377363e-02,1.326628e-01,2.362392e-01,1.811687e-01
1000,0.100000,34.230000,2.809369e-04,2.825010e-04,8.630873e-02,1.907199e-01,2.057202e-01,1.862928e-01
1000,0.100000,34.349000,2.873122e-04,2.973412e-04,3.659188e-02,2.515945e-02,1.371315e-01,1.453981e-01
1000,0.100000,34.468000,2.922377e-04,3.013298e-04,4.153049e-02,3.571898e-02,1.097405e-01,1.161629e-01
1000,0.100000,34.587000,2.970044e-04,3.055655e-04,3.933566e-02,3.576957e-02,9.535858e-02,9.979795e-02
1000,0.100000,34.706000,3.013253e-04,3.095381e-04,3.555277e-02,3.288791e-02,8.745857e-02,9.082720e-02
1000,0.100000,34.825000,3.054497e-04,3.133850e-04,3.219894e-02,3.012302e-02,8.060158e-02,8.333779e-02
1000,0.100000,34.944000,3.090575e-04,3.167591e-04,2.935641e-02,2.764613e-02,7.671207e-02,7.902649e-02
1000,0.100000,35.063000,3.122582e-04,3.197574e-04,2.711374e-02,2.567868e-02,7.411298e-02,7.614035e-02
1000,0.100000,35.182000,3.154026e-04,3.227534e-04,2.481317e-02,2.353014e-02,7.202375e-02,7.377513e-02
1000,0.100000,35.301000,3.179989e-04,3.251900e-04,2.293074e-02,2.184810e-02,7.002990e-02,7.158649e-02
1000,0.100000,35.420000,3.206386e-04,3.277296e-04,2.121814e-02,2.022821e-02,6.866726e-02,7.007053e-02
1000,0.100000,35.539000,3.232450e-04,3.302350e-04,1.955467e-02,1.866034e-02,6.728653e-02,6.854125e-02
1000,0.100000,35.658000,3.253470e-04,3.322203e-04,1.863477e-02,1.788007e-02,6.563181e-02,6.680999e-02
1000,0.100000,35.777000,3.273268e-04,3.341233e-04,1.714898e-02,1.648136e-02,6.469052e-02,6.579248e-02
1000,0.100000,35.896000,3.292765e-04,3.360058e-04,1.552325e-02,1.492973e-02,6.392566e-02,6.495149e-02
1000,0.100000,36.015000,3.312262e-04,3.378885e-04,1.389751e-02,1.337809e-02,6.316081e-02,6.411050e-02
1000,0.100000,36.134000,3.324681e-04,3.390632e-04,1.288404e-02,1.243408e-02,6.254767e-02,6.346805e-02
1000,0.100000,36.253000,3.336339e-04,3.401883e-04,1.192942e-02,1.151899e-02,6.211757e-02,6.300631e-02
1000,0.100000,36.372000,3.347845e-04,3.413036e-04,1.098654e-02,1.060952e-02,6.172473e-02,6.258132e-02
1000,0.100000,36.491000,3.359351e-04,3.424189e-04,1.004365e-02,9.700047e-03,6.133189e-02,6.215634e-02
1000,0.100000,36.610000,3.370857e-04,3.435342e-04,9.100768e-03,8.790578e-03,6.093905e-02,6.173136e-02
1000,0.100000,36.729000,3.382364e-04,3.446496e-04,8.157884e-03,7.881109e-03,6.054622e-02,6.130638e-02
1000,0.100000,36.848000,3.393726e-04,3.457504e-04,7.226075e-03,6.983012e-03,6.015021e-02,6.087913e-02
1000,0.100000,36.967000,3.401179e-04,3.464600e-04,6.593053e-03,6.391699e-03,5.966876e-02,6.039062e-02
1000,0.100000,37.086000,3.405524e-04,3.468801e-04,5.683681e-03,5.512520e-03,5.950267e-02,6.021510e-02
1000,0.100000,37.205000,3.409301e-04,3.472474e-04,4.723824e-03,4.580754e-03,5.939418e-02,6.009675e-02
1000,0.100000,37.324000,3.413079e-04,3.476146e-04,3.763968e-03,3.648989e-03,5.928570e-02,5.997840e-02
1000,0.100000,37.443000,3.416856e-04,3.479819e-04,2.804112e-03,2.717223e-03,5.917721e-02,5.986006e-02
1000,0.100000,37.562000,3.420633e-04,3.483491e-04,1.844257e-03,1.785458e-03,5.906872e-02,5.974171e-02
1000,0.100000,37.681000,3.424410e-04,3.487164e-04,8.844050e-04,8.536945e-04,5.896024e-02,5.962336e-02
1000,0.100000,37.800000,3.426472e-04,3.489166e-04,3.931488e-05,3.895708e-05,5.890278e-02,5.955996e-02
1000,0.100000,37.919000,3.424789e-04,3.487527e-04,8.008294e-04,7.698065e-04,5.896288e-02,5.962234e-02
1000,0.100000,38.038000,3.421130e-04,3.483971e-04,1.812394e-03,1.752963e-03,5.908939e-02,5.975524e-02
1000,0.100000,38.157000,3.417471e-04,3.480415e-04,2.823967e-03,2.736123e-03,5.921589e-02,5.988815e-02
1000,0.100000,38.276000,3.413812e-04,3.476860e-04,3.835541e-03,3.719284e-03,5.934240e-02,6.002106e-02
1000,0.100000,38.395000,3.410153e-04,3.473304e-04,4.847115e-03,4.702445e-03,5.946890e-02,6.015397e-02
1000,0.100000,38.514000,3.406494e-04,3.469748e-04,5.858690e-03,5.685606e-03,5.959541e-02,6.028687e-02
1000,0.100000,38.633000,3.402792e-04,3.466151e-04,6.867698e-03,6.666103e-03,5.972624e-02,6.042408e-02
1000,0.100000,38.752000,3.393327e-04,3.457084e-04,7.535349e-03,7.292323e-03,6.043171e-02,6.113263e-02
1000,0.100000,38.871000,3.382452e-04,3.446578e-04,8.326186e-03,8.048591e-03,6.094517e-02,6.166492e-02
1000,0.100000,38.990000,3.370579e-04,3.435053e-04,9.204282e-03,8.896980e-03,6.132260e-02,6.207234e-02
1000,0.100000,39.109000,3.358707e-04,3.423528e-04,1.008238e-02,9.745369e-03,6.170004e-02,6.247975e-02
1000,0.100000,39.228000,3.346835e-04,3.412003e-04,1.096047e-02,1.059376e-02,6.207747e-02,6.288717e-02
1000,0.100000,39.347000,3.334963e-04,3.400479e-04,1.183857e-02,1.144215e-02,6.245491e-02,6.329460e-02
1000,0.100000,39.466000,3.323141e-04,3.389103e-04,1.279246e-02,1.235166e-02,6.280838e-02,6.368196e-02
1000,0.100000,39.585000,3.309361e-04,3.375890e-04,1.396530e-02,1.346114e-02,6.329754e-02,6.421742e-02
1000,0.100000,39.704000,3.289344e-04,3.356557e-04,1.562648e-02,1.503742e-02,6.427167e-02,6.526654e-02
1000,0.100000,39.823000,3.269328e-04,3.337224e-04,1.728767e-02,1.661370e-02,6.524581e-02,6.631567e-02
1000,0.100000,39.942000,3.250528e-04,3.319242e-04,1.855380e-02,1.778602e-02,6.627536e-02,6.740118e-02
1000,0.100000,40.061000,3.229290e-04,3.299164e-04,1.966959e-02,1.876491e-02,6.764595e-02,6.885352e-02
1000,0.100000,40.180000,3.203665e-04,3.274645e-04,2.118032e-02,2.015398e-02,6.900784e-02,7.036508e-02
1000,0.100000,40.299000,3.177366e-04,3.249353e-04,2.274404e-02,2.161729e-02,7.025395e-02,7.177625e-02
1000,0.100000,40.418000,3.151281e-04,3.224783e-04,2.429853e-02,2.296227e-02,7.199330e-02,7.367856e-02
