case_id,mode,gap_mm,freq_hz,target_bn_t,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0105,LT2_OFF,2.500000,10000,0.400000,2,0,1.462968e+02,4.006769e-01,1.603114e-02,3.948769e-01,1.071794e-05,6.734281e-01,4.012122e+00,5.303636e-01,2.651585e-01,0.000000e+00
C0106,LT2_OFF,2.500000,10000,0.800000,2,0,2.925936e+02,8.013539e-01,3.206228e-02,7.897538e-01,1.071794e-05,6.734281e-01,1.604849e+01,2.121455e+00,1.060634e+00,0.000000e+00
C0107,LT2_OFF,2.500000,10000,1.000000,2,0,3.657420e+02,1.001692e+00,4.007785e-02,9.871923e-01,1.071794e-05,6.734281e-01,2.507576e+01,3.314773e+00,1.657241e+00,0.000000e+00
C0108,LT2_OFF,2.500000,10000,1.300000,2,0,4.754647e+02,1.302200e+00,5.210121e-02,1.283350e+00,1.071794e-05,6.734281e-01,4.237804e+01,5.601966e+00,2.800737e+00,0.000000e+00
C0109,LT2_OFF,3.000000,10000,0.100000,2,0,4.222413e+01,1.002017e-01,3.732932e-03,9.858619e-02,9.283792e-06,5.833182e-01,3.238247e-01,3.306461e-02,1.652892e-02,0.000000e+00
C0110,LT2_OFF,3.000000,10000,0.200000,2,0,8.444825e+01,2.004034e-01,7.465863e-03,1.971724e-01,9.283792e-06,5.833182e-01,1.295299e+00,1.322584e-01,6.611566e-02,0.000000e+00
C0111,LT2_OFF,3.000000,10000,0.400000,2,0,1.688965e+02,4.008068e-01,1.493173e-02,3.943448e-01,9.283792e-06,5.833182e-01,5.181196e+00,5.290337e-01,2.644627e-01,0.000000e+00
C0112,LT2_OFF,3.000000,10000,0.800000,2,0,3.377930e+02,8.016135e-01,2.986345e-02,7.886895e-01,9.283792e-06,5.833182e-01,2.072478e+01,2.116135e+00,1.057851e+00,0.000000e+00
C0113,LT2_OFF,3.000000,10000,1.000000,2,0,4.222413e+02,1.002017e+00,3.732932e-02,9.858619e-01,9.283792e-06,5.833182e-01,3.238247e+01,3.306461e+00,1.652892e+00,0.000000e+00
C0114,LT2_OFF,3.000000,10000,1.300000,2,0,5.489136e+02,1.302622e+00,4.852811e-02,1.281621e+00,9.283792e-06,5.833182e-01,5.472638e+01,5.587918e+00,2.793387e+00,0.000000e+00
C0115,LT2_OFF,4.000000,10000,0.100000,2,0,5.259789e+01,1.002779e-01,3.630472e-03,9.881028e-02,7.452770e-06,4.682718e-01,4.847363e-01,3.293754e-02,1.646981e-02,0.000000e+00
C0116,LT2_OFF,4.000000,10000,0.200000,2,0,1.051958e+02,2.005558e-01,7.260944e-03,1.976206e-01,7.452770e-06,4.682718e-01,1.938945e+00,1.317501e-01,6.587926e-02,0.000000e+00
