case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx_grid,grid_n,px_bessel_w,py_tanh_w,f_bx_mesh
B50031,LT2_ON,3.500000,200000,0.500000,0.025000,2,1,2.378251e+02,5.011974e-01,3.047193e-02,4.848429e-01,8.241352e-06,1.035639e+01,7.934404e+02,3.287151e+02,1.643463e+02,0.02064407,120,1.70574645e+00,1.62640539e+02,0.02487029
B50032,LT2_ON,3.500000,200000,1.000000,0.025000,2,1,4.756501e+02,1.002395e+00,6.094386e-02,9.696858e-01,8.241352e-06,1.035639e+01,3.173762e+03,1.314861e+03,6.573851e+02,0.02064407,120,6.82298581e+00,6.50562157e+02,0.02487029
B50033,LT2_ON,4.000000,10000,0.500000,0.025000,2,1,2.629894e+02,5.013895e-01,1.831359e-02,4.940216e-01,7.452772e-06,4.682719e-01,1.224673e+01,9.563441e-01,4.782225e-01,0.02165233,120,4.94106082e-03,4.73281453e-01,0.02707795
B50034,LT2_ON,4.000000,10000,1.000000,0.025000,2,1,5.259788e+02,1.002779e+00,3.662718e-02,9.880432e-01,7.452772e-06,4.682719e-01,4.898692e+01,3.825376e+00,1.912890e+00,0.02165233,120,1.97642433e-02,1.89312581e+00,0.02707795
B50035,LT2_ON,4.000000,30000,0.500000,0.025000,2,1,2.629920e+02,5.013895e-01,1.949243e-02,4.937815e-01,7.452697e-06,1.404801e+00,3.111002e+01,8.579765e+00,4.290324e+00,0.02172864,120,4.44540427e-02,4.24587010e+00,0.02708991
B50036,LT2_ON,4.000000,30000,1.000000,0.025000,2,1,5.259841e+02,1.002779e+00,3.898486e-02,9.875630e-01,7.452697e-06,1.404801e+00,1.244401e+02,3.431906e+01,1.716130e+01,0.02172864,120,1.77816171e-01,1.69834804e+01,0.02708991
B50037,LT2_ON,4.000000,100000,0.500000,0.025000,2,1,2.630199e+02,5.013899e-01,2.625221e-02,4.912291e-01,7.451909e-06,4.682173e+00,2.418865e+02,9.180933e+01,4.590837e+01,0.02195480,120,4.82558695e-01,4.54258123e+01,0.02680296
B50038,LT2_ON,4.000000,100000,1.000000,0.025000,2,1,5.260397e+02,1.002780e+00,5.250442e-02,9.824582e-01,7.451909e-06,4.682173e+00,9.675459e+02,3.672373e+02,1.836335e+02,0.02195480,120,1.93023478e+00,1.81703249e+02,0.02680296
B50039,LT2_ON,4.000000,200000,0.500000,0.025000,2,1,2.630924e+02,5.013906e-01,3.103324e-02,4.868108e-01,7.449853e-06,9.361762e+00,8.984467e+02,3.279232e+02,1.639703e+02,0.02173926,120,1.78012364e+00,1.62190146e+02,0.02599674
B50040,LT2_ON,4.000000,200000,1.000000,0.025000,2,1,5.261849e+02,1.002781e+00,6.206648e-02,9.736217e-01,7.449853e-06,9.361762e+00,3.593787e+03,1.311693e+03,6.558811e+02,0.02173926,120,7.12049456e+00,6.48760585e+02,0.02599674
B50041,LT2_ON,5.000000,10000,0.500000,0.025000,2,1,3.091589e+02,5.017632e-01,1.570199e-02,4.935053e-01,6.339782e-06,3.983407e-01,1.655403e+01,9.527356e-01,4.763980e-01,0.02392169,120,5.41775595e-03,4.70980287e-01,0.02975335
B50042,LT2_ON,5.000000,10000,1.000000,0.025000,2,1,6.183178e+02,1.003526e+00,3.140397e-02,9.870107e-01,6.339782e-06,3.983407e-01,6.621611e+01,3.810943e+00,1.905592e+00,0.02392169,120,2.16710238e-02,1.88392115e+00,0.02975335
B50043,LT2_ON,5.000000,30000,0.500000,0.025000,2,1,3.091615e+02,5.017632e-01,1.695199e-02,4.932465e-01,6.339728e-06,1.195011e+00,3.967274e+01,8.547664e+00,4.274101e+00,0.02398314,120,4.87127034e-02,4.22538847e+00,0.02974752
B50044,LT2_ON,5.000000,30000,1.000000,0.025000,2,1,6.183231e+02,1.003526e+00,3.390397e-02,9.864930e-01,6.339728e-06,1.195011e+00,1.586910e+02,3.419066e+01,1.709640e+01,0.02398314,120,1.94850814e-01,1.69015539e+01,0.02974752
B50045,LT2_ON,5.000000,100000,0.500000,0.025000,2,1,3.091896e+02,5.017636e-01,2.392900e-02,4.906079e-01,6.339153e-06,3.983008e+00,2.988052e+02,9.148771e+01,4.574638e+01,0.02410224,120,5.27010391e-01,4.52193652e+01,0.02932927
B50046,LT2_ON,5.000000,100000,1.000000,0.025000,2,1,6.183792e+02,1.003527e+00,4.785801e-02,9.812159e-01,6.339153e-06,3.983008e+00,1.195221e+03,3.659508e+02,1.829855e+02,0.02410224,120,2.10804156e+00,1.80877461e+02,0.02932927
B50047,LT2_ON,5.000000,200000,0.500000,0.025000,2,1,3.092627e+02,5.017644e-01,2.880147e-02,4.861751e-01,6.337655e-06,7.964133e+00,1.114098e+03,3.268684e+02,1.634405e+02,0.02377246,120,1.93974221e+00,1.61500756e+02,0.02837913
B50048,LT2_ON,5.000000,200000,1.000000,0.025000,2,1,6.185253e+02,1.003529e+00,5.760294e-02,9.723502e-01,6.337655e-06,7.964133e+00,4.456391e+03,1.307474e+03,6.537620e+02,0.02377246,120,7.75896883e+00,6.46003026e+02,0.02837913
B50049,LT2_ON,6.000000,10000,0.500000,0.025000,2,1,3.508927e+02,5.020455e-01,1.658742e-02,4.924171e-01,5.585753e-06,3.509637e-01,2.103037e+01,9.501289e-01,4.750216e-01,0.02536573,120,5.82117115e-03,4.69200476e-01,0.03201529
B50050,LT2_ON,6.000000,10000,1.000000,0.025000,2,1,7.017854e+02,1.004091e+00,3.317483e-02,9.848343e-01,5.585753e-06,3.509637e-01,8.412148e+01,3.800516e+00,1.900087e+00,0.02536573,120,2.32846846e-02,1.87680190e+00,0.03201529
B50051,LT2_ON,6.000000,30000,0.500000,0.025000,2,1,3.508954e+02,5.020456e-01,1.783835e-02,4.920962e-01,5.585710e-06,1.052882e+00,4.846410e+01,8.524530e+00,4.261888e+00,0.02543413,120,5.23179931e-02,4.20957023e+00,0.03199494
B50052,LT2_ON,6.000000,30000,1.000000,0.025000,2,1,7.017908e+02,1.004091e+00,3.567669e-02,9.841924e-01,5.585710e-06,1.052882e+00,1.938564e+02,3.409812e+01,1.704755e+01,0.02543413,120,2.09271972e-01,1.68382809e+01,0.03199494
B50053,LT2_ON,6.000000,100000,0.500000,0.025000,2,1,3.509236e+02,5.020459e-01,2.485579e-02,4.888599e-01,5.585261e-06,3.509323e+00,3.566309e+02,9.126076e+01,4.562673e+01,0.02557268,120,5.64599967e-01,4.50621284e+01,0.03146159
B50054,LT2_ON,6.000000,100000,1.000000,0.025000,2,1,7.018472e+02,1.004092e+00,4.971158e-02,9.777197e-01,5.585261e-06,3.509323e+00,1.426524e+03,3.650430e+02,1.825069e+02,0.02557268,120,2.25839987e+00,1.80248514e+02,0.03146159
